feat_0,score,labels
0.2614112427524307,0.8637450199203187,3
0.23876230113223282,0.9087080250426864,3
0.3146433440678362,0.7829254410927717,2
0.3708735176110578,0.6969834945930563,3
0.6535752815642443,0.5668753557199772,2
0.26732999780583944,0.0,9
0.31270977295951924,0.04245873648264081,9
0.34250135908855145,0.031872509960159334,4
0.3136154546260829,0.023107569721115495,9
0.41305455723529627,0.10711439954467833,4
0.6342044537380171,0.17393284006829823,10
0.4178701480210042,0.08628343767785995,4
0.34535246409038106,0.13249857712009105,4
0.32411505570066096,0.09368241320432552,4
0.3077781109902506,0.029368241320432475,9
0.38483701456168956,0.7535571997723393,3
0.38667060897342026,0.7236198064883324,3
0.6024339508572348,0.436084234490609,3
0.23713067534425492,0.9114399544678429,3
0.4753612691851185,0.6145702902675014,3
0.17582922657255332,0.9631189527603871,3
0.27987860555892985,0.8807057484348322,3
0.40068374835128134,0.7068867387592487,3
0.20747003387024515,0.03414911781445645,9
0.259027963447516,0.03414911781445645,9
0.6830880714918921,0.03414911781445645,5
0.7264754778949357,0.03414911781445645,5
0.08598837539133151,0.683210017074559,3
0.21734679588023215,0.03414911781445645,9
0.2557858065800914,0.03414911781445645,9
0.5550828339033735,0.03414911781445645,5
0.403526167526943,0.5963005122367672,3
1.0,0.6,8
0.0,0.03414911781445645,0
0.020446123120163636,0.03414911781445645,0
0.1787430306564219,0.3339024852589641,3
0.3817167556223807,0.4850692467842914,3
0.3326284731559484,0.43928413329538984,3
0.5726413446265248,0.5457155504837792,3
0.4859025535197614,0.46540188457598175,3
0.36900948182523735,0.4845759817871372,3
0.5837833040272354,0.4691329918042117,3
0.3971915705955764,0.4391955985202049,3
0.1768259618425433,0.39969645224815026,3
0.2000888983839744,0.41001707455890724,3
0.6368747583658837,0.8119521912350598,2
0.33343833595952155,0.6706886738759249,3
0.352743780617539,0.4638588503130336,3
0.4714698964969581,0.7920318725099602,2
0.25242318138431546,0.480022766078543,3
0.2850557430487534,0.5170176437108708,3
0.30151825316389563,0.49903244166192373,3
0.3093011503676159,0.49516220830961866,3
0.3057494634606834,0.6239043824701196,3
0.9408092772352903,0.24769493454752417,8
0.6244695190389155,0.3001707455890723,6
0.23700171945889117,0.6254980079681275,3
0.42998793716036493,0.41035856573705176,3
0.3142956344419799,0.5279453614114968,3
0.15779718227536538,0.6920887877063175,3
0.2380023156385099,0.6341491178144565,3
0.5384036025696548,0.33705179282868525,6
0.2664196239137861,0.5573136027319294,3
0.3266746546526123,0.4949345475241889,3
0.14809825535885227,0.67057484348321,3
0.13558262464254536,0.7018782014797951,3
0.430737641831667,0.4270916334661355,3
0.4160745963213718,0.4644280022766078,3
0.39618860912109594,0.5085941946499716,3
0.3407787797441506,0.5198634035287422,3
0.37428503679434955,0.45657370517928286,3
0.6036971769211802,1.0,1
0.17464368779270048,0.398406374501992,3
0.4148968198969042,0.7973819009675583,3
0.22744777935229363,0.5236198064883324,3
0.5152780928776101,0.9487763232783153,1
